ensembl_gene_id	mean_plddt
YER145C-A	32.81358620689655
YER038W-A	52.71484126984127
YDR157W	45.54706766917293
YEL009C-A	60.89237037037037
YLR236C	45.76093457943925
YCL054W-A	72.54428571428572
YMR084W	84.61114503816793
YPR010C-A	78.75680555555556
YAR023C	79.5263687150838
YFL026W	67.13993039443156
YBR056W-A	56.94
YMR316C-A	63.333300970873786
YPL228W	69.90218579234973
YDR110W	70.67701413427562
YAL065C	46.53984375
YAL064W-B	33.3018253968254
YPL081W	93.59375634517767
YDR204W	86.19662686567165
YHR021W-A	37.1253642384106
YHR139C-A	40.62640776699029
YHR167W	74.55233716475095
YLR302C	46.74675
YLR390W-A	59.59050420168067
YLR261C	60.71824074074074
YLR331C	72.15671999999999
YLR462W	63.17549504950495
YLR466W	65.48799565846599
YLR421C	67.7775
YLR358C	30.995187165775402
YLR255C	46.03290598290598
YLR437C	61.438646616541355
YLR415C	50.56955357142857
YPR089W	73.57987612612612
YPR096C	50.8637
YPL249C-A	93.5529
YPL183W-A	77.48623655913978
YOR298C-A	79.68245033112582
YOR304C-A	78.3521052631579
YBR085C-A	77.48047058823529
YKL053C-A	91.49441860465116
YEL020W-A	92.57540229885058
YDL045W-A	82.222
YDR363W-A	71.13696629213483
YJR048W	97.5516513761468
YEL039C	95.04495575221239
YFR033C	76.10326530612245
YDR529C	95.22984251968504
Q0105	98.06781818181818
YML054C	85.97971235194585
YOL086C	96.41982758620689
YMR303C	96.80313218390805
YJR009C	98.36668674698795
YGR192C	98.0308734939759
YJL052W	98.22313253012048
Q0045	93.65539325842697
Q0250	93.96402390438247
Q0275	95.77182156133829
YNL052W	89.8078431372549
YHR051W	86.21716216216217
YKR066C	85.71296398891967
YJR104C	97.61324675324676
YHR008C	92.51570815450644
YER055C	95.13299663299664
YBR160W	89.42057046979866
YAL038W	96.10088
YCR012W	96.6533173076923
YJR057W	95.02180555555556
YBR093C	93.0189079229122
YIL162W	93.26453007518796
YMR297W	87.79894736842105
YPL111W	94.04036036036037
YCL030C	91.41060075093867
YBR011C	97.60080139372822
YJR121W	86.1948336594912
Q0085	88.22818532818533
Q0080	96.05229166666666
YNR001C	92.45221294363257
