ensembl_gene_id	mode_plddt
YPL071C	54.63575
YLL050C	97.28899999999999
YMR172W	36.75875
YOR185C	97.14349999999999
YLL032C	92.1685
YBR225W	95.935
YEL041W	96.70825
YOR237W	97.75874999999999
YMR027W	97.67875000000001
YBR182C-A	85.0935
YKL103C	97.43299999999999
YOL048C	92.85700000000001
YIR015W	92.994
YNR017W	92.136
YBL055C	97.19274999999999
YOL144W	91.60100000000001
YDL246C	97.56475
YDL243C	97.6275
YDR387C	96.62975
YMR290C	96.399
YCR031C	96.23675
YBR293W	96.732
YJL160C	96.08975000000001
YMR139W	97.22475
YDR438W	96.81050000000002
YDR523C	96.631
YDR542W	82.92250000000001
YLR466W	87.095
YPL208W	94.82974999999999
YLR054C	96.4515
YER011W	49.1355
YLR437C	76.88525000000001
YNR069C	95.75800000000001
YDR492W	97.12525
YMR191W	32.35375
YIL086C	43.625
YOL072W	97.58599999999998
YOR114W	89.768
YIL156W-B	96.00775
YHR094C	96.42349999999999
YOL085C	30.423000000000002
YHL031C	91.983
YOR385W	93.351
YGL087C	97.66024999999999
YMR244C-A	97.11574999999999
YNL306W	97.017
YOR214C	48.10549999999999
YAL037W	92.17275000000001
YLL056C	97.91
YOL119C	92.59324999999998
YJL204C	87.9975
YAL016W	96.9105
YIL146C	36.17
YCL011C	86.8775
YLR128W	96.97375
YDR018C	93.67125
YOR019W	34.20125
YNL288W	96.4435
YCL040W	97.4065
YNL191W	97.21475000000001
YBR115C	96.90174999999999
YGL156W	97.1865
YCR052W	87.1375
YGL015C	47.287
YOR206W	96.67525
YMR091C	93.3845
YJR105W	97.6925
YHL002W	94.47825
YCR100C	93.45150000000001
YPL217C	91.78375
YOR341W	91.20124999999999
YDL189W	41.8955
YER056C-A	95.04375
YMR180C	96.70325
YNL097C	91.96000000000001
YDR508C	96.74475
YHR045W	97.55474999999998
YML020W	96.989
YGR251W	85.43275
YBR031W	96.917
YDR462W	97.391
YPR139C	97.63850000000001
YPR169W	96.60275
YPL257W	63.3845
YOL088C	97.143
YLR075W	97.572
YML088W	92.041
YIL010W	97.29225
YDR175C	96.96475000000001
YLR052W	53.02875
YKR004C	97.06525
YNL137C	95.47425
YNL331C	97.94725
YFL026W	86.25875000000002
YJR129C	97.08275
YKR092C	46.522999999999996
YDR186C	38.13249999999999
YML077W	87.68875
YEL067C	45.2705
YJL139C	97.447
YKL002W	92.357
YGR162W	36.86
YLR159C-A	61.670750000000005
YLR159C-A	62.973749999999995
YLR159C-A	89.97425000000001
YLR159C-A	60.88249999999999
YEL054C	71.27450000000002
YEL054C	72.32124999999999
YPL009C	91.54849999999999
YLR025W	97.039
YDR243C	92.78349999999998
YGR005C	88.91874999999999
YOR160W	97.04374999999999
YLR049C	84.20849999999999
YLR308W	97.01674999999999
YOR084W	97.56550000000001
YNL030W	97.17375
YHR084W	41.50075
YLR032W	83.0925
YOR039W	96.8305
YBR241C	97.0895
YEL047C	97.61699999999999
YML125C	96.8215
YOR264W	49.818749999999994
