ensembl_gene_id	aiupred_perc_50
YPL228W	0.5209471766848816
YLR390W-A	0.5210084033613446
YOR298C-A	1
YDR363W-A	1
YFR033C	0.8027210884353742
YJR104C	0.9675324675324676
YMR174C	1
YNL098C	0.5807453416149069
YDR382W	0.6
YEL009C	0.505338078291815
YGL031C	0.6387096774193548
YOL039W	0.5943396226415094
YDR172W	0.5153284671532846
YKL180W	0.7663043478260869
YLR029C	0.6029411764705882
YIL038C	0.6590909090909091
YGL058W	0.5465116279069767
YCR031C	0.5182481751824818
YGL237C	1
YML032C	0.7579617834394905
YML095C	0.5476190476190477
YER161C	1
YDR392W	0.5548961424332344
YMR042W	0.9265536723163842
YDL106C	0.7155635062611807
YFR034C	0.9583333333333334
YGR258C	0.5848690591658584
YOL121C	0.6388888888888888
YNL302C	0.6041666666666666
YAL024C	0.5637630662020906
YJL128C	0.5119760479041916
YDR146C	0.7362482369534555
YIR019C	0.8149231894659839
YLR182W	0.5815691158156912
YLR264W	1
YPR170W-B	0.5647058823529412
YLR256W	0.5898801597869507
YFR031C-A	0.6338582677165354
YIL018W	0.6338582677165354
YFR031C-A	0.6338582677165354
YIL018W	0.6338582677165354
YBL027W	0.708994708994709
YBR084C-A	0.708994708994709
YBL027W	0.708994708994709
YBR084C-A	0.708994708994709
YHL034C	0.8707482993197279
YCR066W	0.5482546201232033
YER011W	0.5236220472440944
YGL073W	0.8475390156062425
YAL025C	0.5392156862745098
YPR052C	1
YBR089C-A	1
YCL029C	0.8204545454545454
YMR043W	0.8951048951048951
YML098W	0.5029940119760479
YHR205W	0.5145631067961165
YNL216W	0.6723095525997581
YDR227W	0.6649484536082474
YOR276W	0.7763975155279503
YDR122W	0.6343984962406015
YLR096W	0.6146469049694856
YHR084W	0.8023255813953488
YKL109W	0.644404332129964
YKL112W	0.7606019151846786
YJL141C	0.5018587360594795
YDR054C	0.5796610169491525
YFR036W	1
YDR217C	0.6417112299465241
YBR112C	0.6697722567287785
YGL166W	0.7155555555555555
YOR027W	0.6196943972835314
YCR088W	0.7280405405405406
YBR072W	0.6728971962616822
YNL272C	0.6100131752305665
YJR060W	0.8831908831908832
YNL322C	0.5878594249201278
YNL079C	1
YGR167W	0.7167381974248928
YBR289W	0.6464088397790055
YER040W	0.7479452054794521
YHL025W	0.70783132530120485
YMR173W	0.5837209302325581
YPL133C	0.5022421524663677
YOL051W	0.8297872340425532
YML007W	0.7630769230769231
YOR140W	0.814621409921671
YJL140W	0.6742081447963801
YPR187W	0.5612903225806452
YOR098C	0.966542750929368
YLR131C	0.8727272727272727
YBR049C	0.7209876543209877
YJR021C	0.6815286624203821
YHL020C	0.7871287128712872
YOL116W	0.5471204188481675
YGL071W	0.755072463768116
YNL183C	0.7265822784810126
YOL004W	0.5006510416666666
YJR017C	0.8470588235294118
YIL004C	1
YFL014W	1
YLL021W	0.7421555252387448
YHR135C	0.5631970260223048
YNL154C	0.5879120879120879
YLL043W	0.5426008968609866
YDR423C	0.5134474327628362
YPR065W	0.9538043478260868
YBL093C	0.85
YKR048C	0.5419664268585132
YNL007C	0.9914772727272728
YER111C	0.6550777676120768
YMR214W	0.5782493368700266
YCR008W	0.5356550580431177
YCR033W	0.8083197389885808
YCR065W	0.7358156028368794
YLR078C	0.7745901639344263
