uniprot	perc
A0A0B7P3V8	0.17572463768115942
D6VTK4	0.22041763341067286
O13297	0.4899817850637523
O13329	0.31448763250883394
O13516	0.3248730964467005
O13527	0.25752508361204013
O13535	0.34467373117679867
O13539	0.0
O13547	0.4831932773109244
O13563	0.24358974358974358
O14467	1.0
O60200	0.0
O74700	0.011494252873563218
O94742	1.0
P00044	0.027522935779816515
P00127	0.7414965986394558
P00128	0.0
P00163	0.03636363636363636
P00175	0.028764805414551606
P00330	0.0
P00331	0.0
P00358	0.18373493975903615
P00359	0.16265060240963855
P00360	0.18674698795180722
P00401	0.0
P00410	0.06374501992031872
P00420	0.07063197026022305
P00424	0.2222222222222222
P00431	0.20498614958448755
P00445	0.9285714285714286
P00546	0.020134228187919462
P00549	0.08
P00560	0.0
P00572	0.0
P00635	0.0
P00724	0.013157894736842105
P00729	0.0
P00812	0.2042042042042042
P00815	0.07759699624530664
P00817	0.0
P00830	0.162426614481409
P00854	0.03088803088803089
P00890	0.025052192066805846
P00924	0.11670480549199085
P00925	0.12128146453089245
P00927	0.0
P00937	0.0
P00942	0.0
P00950	0.1862348178137652
P00958	0.0
P01094	1.0
P01119	0.4336569579288026
P01120	0.5559006211180124
P01123	0.19902912621359223
P02293	0.33587786259541985
P02294	0.3053435114503817
P02309	0.18446601941747573
P02400	0.5272727272727272
P02406	0.40268456375838924
P02557	0.11597374179431072
P02829	0.15796897038081806
P02992	0.09610983981693363
P02994	0.24890829694323144
P03069	0.4875444839857651
P03870	0.0
P03871	0.1903485254691689
P03873	0.0
P03877	0.007228915662650603
P03878	0.0
P03879	0.023510971786833857
P03962	0.003745318352059925
P03965	0.0
P04037	0.025806451612903226
P04039	0.0
P04050	0.2267743796884016
P04051	0.012328767123287671
P04147	0.38128249566724437
P04385	0.003787878787878788
P04386	0.17253121452894438
P04387	0.004597701149425287
P04397	0.0
P04449	0.6258064516129033
P04456	0.1619718309859155
P04710	0.022653721682847898
P04786	0.3094928478543563
P04802	0.1867145421903052
P04806	0.08453608247422681
P04807	0.0823045267489712
P04817	0.188135593220339
P04819	0.16423841059602648
P04821	0.38451856513530525
P04840	0.0
P04911	0.16666666666666666
P04912	0.16666666666666666
P05030	0.19607843137254902
P05066	0.0743362831858407
P05150	0.0
P05317	0.15064102564102563
P05318	0.3867924528301887
P05319	0.5471698113207547
P05373	0.008771929824561403
P05374	0.07249712313003452
P05375	0.0
P05453	0.4467153284671533
P05626	0.012295081967213115
P05737	0.1598360655737705
P05739	0.13636363636363635
P05740	0.5543478260869565
P05744	0.0
P05745	0.2
P05748	0.4117647058823529
